Theme,PrimaryCode,Count
Education,SELF_TAUGHT,30
Education,ONLINE_LEARNING,19
Education,EARLY_EXPERIMENTATION,15
Education,PEER_LEARNING,12
Education,REAL_LESSON,10
Education,CHOIR_BACKGROUND,2
Education,EXPERT_TRAINING,2
Education,SCREAMING_TECHNIQUE,2
Education,GENRE_PREFERENCE,1
Education,INSTRUMENTAL_SKILL,1
Education,LIVE_PERFORMANCE,1
Education,SCREAMINIG_TECHNIQUE,1
Education,VOCAL_HEALTH,1
Historical Perspective,ERA_LINEAGE,2
Historical Perspective,EARLY_EXAMPLES_SCREAM,1
Historical Perspective,GATEWAY_BAND,1
Historical Perspective,STYLE_EVOLUTION,1
Melody & Rhythm,MELODY_IMPORTANT,24
Melody & Rhythm,RHYTHM_IMPORTANT,14
Melody & Rhythm,MELODIC_HYBRIDITY,3
Melody & Rhythm,TEMPO_DYNAMICS,3
Melody & Rhythm,ARTICULATION_TECHNIQUE,1
Melody & Rhythm,AUDITORY_COMPLEXITY,1
Musical Background,INSTRUMENTAL_SKILL,39
Musical Background,COMPOSITION_PROCESS,29
Musical Background,BAND_MEMBERSHIP,28
Musical Background,LIVE_PERFORMANCE,22
Musical Background,STUDIO_EXPERIENCE,17
Musical Background,CREATIVE_AUTONOMY,10
Musical Background,LOCAL_SCENE,9
Musical Background,STAGE_VS_STUDIO,9
Musical Background,GENRE_PREFERENCE,5
Musical Background,CHOIR_BACKGROUND,3
Musical Background,PEER_LEARNING,2
Musical Background,CHILDHOOD_INFLUENCE,1
Musical Background,MELODY_IMPORTANT,1
Musical Background,MUSIC_AS_EXPRESSION,1
Musical Background,NON_METAL_TASTE,1
Musical Taste & Influence,GENRE_PREFERENCE,36
Musical Taste & Influence,BAND_INFLUENCE,31
Musical Taste & Influence,NON_METAL_TASTE,21
Musical Taste & Influence,VOCALIST_INFLUENCE,13
Musical Taste & Influence,CHILDHOOD_INFLUENCE,12
Musical Taste & Influence,EMOTIONAL_CONNECTION,11
Musical Taste & Influence,GATEWAY_BAND,9
Musical Taste & Influence,INFLUENCE_DIVERSITY,7
Musical Taste & Influence,CULTURAL_INFLUENCE,5
Musical Taste & Influence,AUTHENTICITY_IN_TASTE,3
Musical Taste & Influence, BAND_INFLUENCE,1
Musical Taste & Influence,INSTRUMENTAL_SKILL,1
Musical Taste & Influence,MOOD_REGULATION,1
Other,MUSIC_AS_EXPRESSION,13
Other,MOOD_REGULATION,4
Other,COMMUNITY_SUPPORT,2
Other,EMOTIONAL_CONNECTION,2
Other,ANIMAL_SOUND_COMPARISON,1
Other,CULTURAL_PERCEPTION,1
Other,STYLE_EVOLUTION,1
Perception & Intelligibility,INTELLIGIBILITY_IMPORTANT,38
Perception & Intelligibility,MESSAGE_IMPORTANCE,13
Perception & Intelligibility,AUDIENCE_UNDERSTANDING,10
Perception & Intelligibility,PERCEPTION_MISUNDERSTOOD,9
Perception & Intelligibility,MESSAGE_SUBSTANCE,8
Perception & Intelligibility,ARTICULATION_TECHNIQUE,7
Perception & Intelligibility,EXPERTISE_DECODING,7
Perception & Intelligibility,CULTURAL_PERCEPTION,6
Perception & Intelligibility,AUDITORY_COMPLEXITY,4
Perception & Intelligibility,INTELLIGIBILITY_NOT_IMPORTANT,4
Perception & Intelligibility,EXTREME_VOCALS_DEFINITION,3
Perception & Intelligibility,PERCEPTUAL_CLASS_GROWLLIKE,3
Perception & Intelligibility,PERCEPTUAL_CLASS_HYBRID,3
Perception & Intelligibility,GENRE_PREFERENCE,2
Perception & Intelligibility,SCREAMING_TECHNIQUE,2
Perception & Intelligibility,BAND_INFLUENCE,1
Perception & Intelligibility,EARLY_EXAMPLES_SCREAM,1
Perception & Intelligibility,FALSE_CORD,1
Perception & Intelligibility,FRY_TECHNIQUE,1
Perception & Intelligibility,INSTRUMENTAL_SKILL,1
Perception & Intelligibility,PERCEPTUAL_CLASS_SCREAMLIKE,1
Vocal Health,VOCAL_HEALTH,30
Vocal Health,WARMUP_ROUTINE,18
Vocal Health,PREVENTION_STRATEGIES,15
Vocal Health,INJURY_EVENT,8
Vocal Health,TRIAL_ERROR,5
Vocal Health,EARLY_EXPERIMENTATION,1
Vocal Technique & Style,VOCAL_STYLE_SELF_DESC,21
Vocal Technique & Style,GROWL_TECHNIQUE,14
Vocal Technique & Style,SCREAMING_TECHNIQUE,10
Vocal Technique & Style,HYBRID_TECHNIQUE,7
Vocal Technique & Style,FRY_TECHNIQUE,6
Vocal Technique & Style,YELLING_STYLE,5
Vocal Technique & Style,HIGH_SCREAM_STYLE,4
Vocal Technique & Style,ERA_BLEND_STYLE,3
Vocal Technique & Style,LIVE_PERFORMANCE,3
Vocal Technique & Style,TONGUE_TECHNIQUE,3
Vocal Technique & Style,BAND_INFLUENCE,2
Vocal Technique & Style,FALSE_CORD,2
Vocal Technique & Style,INSTRUMENTAL_SKILL,2
Vocal Technique & Style,MID_SCREAM_STYLE,2
Vocal Technique & Style,MUSIC_AS_EXPRESSION,2
